Date;SP500;FTSE100;DAX30;CAC40;TOPIX
31.05.1972;-0,745864837;0;-0,033774476;0;1,316297729
01.06.1972;0,145972109;0;0;0;-0,08499788
02.06.1972;0,036459758;0;0,402772038;0;0,402177463
05.06.1972;-0,832766194;0;0,879727125;0;0,253755905
06.06.1972;-0,562135747;0;0,254187657;0;-0,334799157
07.06.1972;-0,518855977;0;0,609167292;0;-0,081108985
08.06.1972;-0,344298484;0;-0,805448528;0;0,088479268
09.06.1972;-0,392267244;0;-0,1369238;0;-0,91808293
12.06.1972;0,140272151;0;-1,123508082;0;0,47860295
13.06.1972;0,503356767;0;-0,61655992;0;0,022204952
14.06.1972;0,777997811;0;-0,827437436;0;0,099861312
15.06.1972;0,04611908;0;1,562950934;0;0,339521306
16.06.1972;-0,073800741;0;0,157794457;0;0,338372459
19.06.1972;-0,230978991;0;0,618136262;0;1,537594965
20.06.1972;0,415378822;0;-1,079809402;0;0,324886576
21.06.1972;0,211640291;0;-0,857960113;0;0,703899477
22.06.1972;-0,101163387;0;-0,850900196;0;0,143046193
23.06.1972;-0,368731981;0;-1,499371442;0;-0,652519166
26.06.1972;-0,7415681;0;-2,031035546;0;-7,461998297
27.06.1972;-0,10239703;0;0,445376686;0;4,078168675
28.06.1972;-0,326508056;0;0,775594183;0;1,605585638
29.06.1972;-0,187055797;0;-1,172219649;0;1,753061863
30.06.1972;0,299121554;0;2,935221201;0;1,283375078
03.07.1972;0,326142953;0;1,436819311;0;1,652173205
04.07.1972;0;0;-1,980765162;0;-0,651970482
05.07.1972;0,565890466;0;-0,910125149;0;-1,605876514
06.07.1972;0,865806274;0;0,997940742;0;0,506167759
07.07.1972;-0,321499381;0;0,354137754;0;0,344295511
10.07.1972;-0,535056627;0;-0,014578853;0;0,80814937
11.07.1972;-0,733420175;0;1,434890224;0;0,196636181
12.07.1972;-0,401475727;0;0,783798437;0;0,164736022
13.07.1972;-0,572314739;0;-1,535769809;0;0,150478585
14.07.1972;0,497443421;0;-0,600940435;0;0,289819851
17.07.1972;-0,704658339;0;0,976731301;0;-0,303808311
18.07.1972;-0,21709386;0;0,046874719;0;0,453626293
19.07.1972;0,292494429;0;-0,241820629;0;0,942520578
20.07.1972;-0,311394448;0;1,281815658;0;0,612022265
21.07.1972;0,800117226;0;1,128111577;0;0,335364081
24.07.1972;1,174400673;0;1,453335801;0;0,56551217
25.07.1972;-0,296956417;0;0,977372701;0;0,339132824
26.07.1972;-0,065076933;0;-0,467600993;0;0,341360703
27.07.1972;-0,232763943;0;0,236661969;0;0,742898016
28.07.1972;0,093170602;0;0,742615965;0;1,363778455
31.07.1972;0,009312288;0;0,451120876;0;0,933879399
01.08.1972;0,936102114;0;0,209488363;0;0,421328295
02.08.1972;0,817681068;0;-0,393791902;0;-1,593358172
03.08.1972;0,774738415;0;0,235438741;0;1,38781496
04.08.1972;0,262955222;0;0,328346062;0;0,1729455
07.08.1972;0,162866486;0;0,145963128;0;-0,467313476
08.08.1972;0,072300048;0;0,13728234;0;-0,131108872
09.08.1972;0,153464259;0;1,084824923;0;-0,384483147
10.08.1972;0,171240635;0;0;0;-0,201044841
11.08.1972;0,80717927;0;-0,468534381;0;0,368821836
14.08.1972;0,534522431;0;-0,025252313;0;0,746638698
15.08.1972;-0,436312522;0;-0,86239501;0;0,081530163
16.08.1972;-0,357590225;0;-0,55688629;0;0,620706216
17.08.1972;-0,286995713;0;-1,136980904;0;0,268534707
18.08.1972;0,376513219;0;0,442932346;0;0,225915862
21.08.1972;-0,035797387;0;-0,19967989;0;-0,0935318
22.08.1972;0,61571604;0;-0,390180392;0;0,041938867
23.08.1972;-0,133529196;0;-0,666472432;0;0,215867986
24.08.1972;-1,110724425;0;-0,480035833;0;0,106152
25.08.1972;-0,315756499;0;-0,665375828;0;-0,506036438
28.08.1972;-0,39837083;0;-0,367057076;0;-0,606091926
29.08.1972;0,163161748;0;1,461955329;0;0,29540201
30.08.1972;0,14480951;0;0,057478774;0;0,320383439
31.08.1972;0,469187904;0;0,052224777;0;0,708309465
01.09.1972;0,377358938;0;0,600362714;0;0,201913438
04.09.1972;0;0;-0,296260579;0;0,794072577
05.09.1972;-0,251414337;0;-0,647544388;0;0,050809782
06.09.1972;-0,631315228;0;0,388681675;0;-0,09846741
07.09.1972;-0,2173717;0;0,097369298;0;0,269760077
08.09.1972;-0,127018707;0;0,199658044;0;0,549955557
11.09.1972;-0,582720396;0;-0,071136716;0;0,64721078
12.09.1972;-0,954223224;0;-0,666976795;0;-0,71657859
13.09.1972;0,395639289;0;-0,881001118;0;0,314921215
14.09.1972;0,027544416;0;-1,259440151;0;-0,359089434
15.09.1972;-0,110223213;0;-0,007140562;0;0
18.09.1972;-0,183975767;0;-1,708673854;0;0,129294731
19.09.1972;-0,055258797;0;-0,622998226;0;-0,442185111
20.09.1972;0,046051118;0;0,630261841;0;0,1549873
21.09.1972;-0,184331849;0;1,381347027;0;0,592426262
22.09.1972;0,110639879;0;0,24684304;0;0,40135511
25.09.1972;-0,406279414;0;-1,075887559;0;0,592806953
26.09.1972;0,083236999;0;0,229078645;0;0,236142292
27.09.1972;1,368060633;0;0,667997959;0;-0,301490585
28.09.1972;0,627246273;0;0,071562755;0;0,719583763
29.09.1972;0,18107746;0;-0,739560713;0;0,59777093
02.10.1972;-0,353405288;0;-0,692444664;0;1,197070513
03.10.1972;0,163265342;0;0,228331288;0;-0,645615423
04.10.1972;-0,226829476;0;0,918908828;0;0,682035345
05.10.1972;-1,096001472;0;-0,014349261;0;-0,118413276
06.10.1972;0,668164126;0;-0,300011902;0;-1,056724246
09.10.1972;0,255102179;0;-0,887320475;0;0,557240963
10.10.1972;0,081859116;0;0,181356597;0;0
11.10.1972;-0,446490331;0;-0,601552033;0;0,320078311
12.10.1972;-0,825314176;0;-0,550190115;0;0,570545689
13.10.1972;-0,62811956;0;-0,238562864;0;-0,133240488
16.10.1972;-1,071322371;0;-0,720973021;0;-0,919336764
17.10.1972;0,681385938;0;-0,474875218;0;-0,631981487
18.10.1972;0,639809313;0;-0,450988465;0;0,806146989
19.10.1972;-0,129485775;0;1,001708851;0;0,201287085
20.10.1972;1,095321365;0;0,453866944;0;-1,907045983
23.10.1972;1,01098361;0;-1,414492694;0;1,271308162
24.10.1972;0,415989025;0;-0,599241508;0;0,061304563
25.10.1972;-0,081253108;0;-0,048846473;0;0,1592162
26.10.1972;0,243561529;0;1,704824932;0;0,058111974
27.10.1972;-0,33392026;0;-0,26082387;0;0,633974509
30.10.1972;-0,027123548;0;-0,131594818;0;1,274017957
31.10.1972;0,891215333;0;1,117659778;0;0,410137237
01.11.1972;0,972136976;0;0,03484097;0;0,086602069
02.11.1972;0,495795615;0;-0,525736505;0;0,005969793
03.11.1972;0,870526491;0;0,294458869;0;0
06.11.1972;-0,210341883;0;0,754264601;0;0,178928268
07.11.1972;0;0;0,007295143;0;0,169685824
08.11.1972;-0,554261745;0;0,114828362;0;0,240638253
09.11.1972;0,132245997;0;1,139288366;0;0,316995037
10.11.1972;0,202438127;0;0,780378002;0;0,292402187
13.11.1972;0,149365226;0;0,153563232;0;0,959781953
14.11.1972;0,917638076;0;-0,007137249;0;0,858024838
15.11.1972;-0,392242821;0;-0,732485926;0;0,502658789
16.11.1972;0,548710169;0;0,65215675;0;-0,679478117
17.11.1972;0,312202144;0;0,504111437;0;0,497772632
20.11.1972;0,034629037;0;-1,545282636;0;0,515413111
21.11.1972;0,586866274;0;-1,582369054;0;0,366941329
22.11.1972;0,591996924;0;0;0;1,067337119
23.11.1972;0;0;1,186400539;0;0
24.11.1972;0,316009999;0;1,099050754;0;1,011233495
27.11.1972;-0,470106426;0;0,232670626;0;0,726037089
28.11.1972;-0,21441751;0;-1,569330887;0;1,688455705
29.11.1972;0,042920298;0;-1,161678117;0;1,993511482
30.11.1972;0,128650474;0;0,905298025;0;0,265142033
01.12.1972;0,606709829;0;-0,712579069;0;-1,813716996
04.12.1972;0,331703472;0;-0,719540098;0;0,946050075
05.12.1972;-0,161461688;0;-0,847612022;0;0,072818483
06.12.1972;0,365041366;0;-0,695303911;0;0,285368345
07.12.1972;0,498711993;0;1,005877606;0;-1,252501732
08.12.1972;0,218984337;0;0,859723345;0;0,320704738
11.12.1972;0,218505844;0;-0,735392535;0;-0,04342516
12.12.1972;-0,386912755;0;-0,705348851;0;0,103103981
13.12.1972;-0,084309928;0;-1,189271248;0;-0,062392341
14.12.1972;-0,270270435;0;0,687482107;0;0,0488321
15.12.1972;0,016913319;0;-0,442083211;0;0,143645086
18.12.1972;-1,156672191;0;-0,519825375;0;0,803845502
19.12.1972;-0,480193;0;0,640416285;0;0,010746044
20.12.1972;-0,335787478;0;1,480400868;0;0,922528102
21.12.1972;-0,727087077;0;0,523711583;0;0,167546547
22.12.1972;0,623540602;0;-0,062774641;0;1,267410623
25.12.1972;0;0;0;0;0,776241107
26.12.1972;0,404946058;0;0;0;1,726739595
